id_estudiante,genero,estructura_familiar,num_hermanos,nivel_socioeconomico,nivel_educativo_padres,trabaja_estudiante,horas_trabajo_semanal,acceso_internet_hogar,distancia_colegio_km,nivel_autoestima,nivel_ansiedad,nivel_motivacion_escolar,apoyo_familiar_percibido,eventos_estresantes_recientes,relacion_con_companeros,horas_sueño_diarias,consumo_sustancias,participa_actividades_extracurriculares,atencion_psicologica_previa
1678,Masculino,Ambos padres,1,Bajo,Secundaria,0,,0,2.4,3.0,3,1,1,1,Regular,6.8,0,0,0
2125,Femenino,Un solo padre,0,Medio-bajo,Superior,0,,1,2.95,3.0,3,2,2,1,Regular,7.0,0,1,1
3227,Masculino,Ambos padres,1,Alto,Sin estudios,0,,1,2.89,,2,4,2,0,Buena,8.0,1,1,1
2226,Otro,Ambos padres,1,Bajo,Superior,1,29.7,1,3.07,4.0,4,4,1,1,Conflictiva,5.0,0,1,1
1549,Masculino,Ambos padres,1,Medio-bajo,Secundaria,0,,1,0.92,2.0,4,3,2,1,Regular,5.5,0,1,1
1536,Femenino,Ambos padres,0,Medio-bajo,Primaria,0,,0,1.73,2.0,4,3,3,1,Regular,7.2,0,0,0
1622,Femenino,Ambos padres,2,Medio-bajo,Primaria,0,,0,0.25,2.0,3,3,3,0,Regular,6.8,0,1,0
2758,Femenino,Un solo padre,1,Bajo,Superior,1,27.2,0,4.57,1.0,5,4,4,0,Regular,6.9,1,0,0
3760,Masculino,Ambos padres,1,Medio,Superior,0,,1,1.34,3.0,3,3,2,0,Buena,6.0,0,1,1
1662,Masculino,Ambos padres,1,Bajo,Secundaria,0,,1,0.75,3.0,3,1,5,1,Conflictiva,4.6,0,0,0
1604,Femenino,Ambos padres,1,Medio-bajo,Secundaria,0,,1,0.57,3.0,3,3,3,1,Conflictiva,7.7,0,1,0
3502,Femenino,Ambos padres,2,Medio-bajo,Superior,1,23.6,1,0.1,3.0,3,2,2,0,Buena,7.3,0,1,0
1679,Femenino,Ambos padres,4,Medio,Secundaria,0,,0,0.64,3.0,1,4,4,0,Regular,6.9,0,0,0
3993,Masculino,Un solo padre,1,Medio,Superior,0,,1,0.69,3.0,2,3,4,0,Buena,8.0,0,1,0
1302,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,11.41,4.0,3,4,5,0,Regular,7.5,0,0,0
1107,Femenino,Un solo padre,3,Medio,Sin estudios,1,21.8,0,0.43,3.0,1,3,4,0,Buena,6.8,0,0,0
3213,Masculino,Otros familiares,1,Bajo,Secundaria,0,,0,0.13,3.0,5,3,3,1,Regular,5.6,0,0,1
2730,Femenino,Ambos padres,5,Medio,Secundaria,0,,1,0.6,4.0,4,4,3,0,Regular,4.4,0,0,1
2751,Femenino,Ambos padres,0,Medio,Secundaria,0,,1,0.15,3.0,2,4,3,0,Conflictiva,7.3,0,1,1
1486,Masculino,Otros familiares,2,Medio-bajo,Sin estudios,0,,0,0.64,3.0,3,1,2,0,Regular,5.5,1,1,0
2602,Masculino,Ambos padres,1,Alto,,0,,1,0.17,2.0,1,5,2,0,Regular,8.2,1,1,0
1027,Femenino,Ambos padres,0,Bajo,Primaria,0,,0,0.72,2.0,5,2,5,1,Regular,6.8,0,0,1
2937,Masculino,Ambos padres,0,Medio-bajo,Primaria,0,,1,0.68,3.0,2,3,3,1,Conflictiva,6.0,0,1,1
3371,Masculino,Un solo padre,0,Medio-bajo,Secundaria,1,22.4,0,4.51,2.0,3,3,2,0,Conflictiva,6.1,0,1,0
2218,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,0.91,3.0,5,1,2,1,Regular,7.2,0,1,0
1258,Masculino,Ambos padres,3,Medio,Superior,0,,1,2.64,5.0,3,4,4,1,Buena,6.9,0,0,0
1068,Masculino,Un solo padre,1,Medio,Secundaria,0,,1,2.19,4.0,2,3,4,0,Conflictiva,5.5,0,0,0
3350,Masculino,Otros familiares,2,,,0,,1,0.43,5.0,1,3,4,0,Buena,6.8,0,1,0
1896,Femenino,Ambos padres,4,Medio-bajo,Superior,0,,1,0.47,2.0,5,2,2,0,Conflictiva,5.9,0,0,0
2660,Femenino,Un solo padre,0,Medio,Superior,1,20.4,1,2.99,3.0,3,4,4,0,Regular,6.0,0,1,0
1557,Femenino,Un solo padre,1,,Superior,0,,1,0.27,3.0,3,4,4,0,Buena,8.9,0,1,0
1794,Masculino,Ambos padres,3,Alto,Superior,0,,1,1.89,5.0,3,5,5,1,Buena,6.2,0,1,0
1706,Masculino,Un solo padre,1,Medio,Primaria,1,20.1,1,1.68,4.0,4,3,2,1,Regular,7.8,0,0,0
3664,Masculino,Tutor,1,Alto,Primaria,0,,1,1.28,,2,4,4,1,Buena,6.3,0,1,0
1631,Femenino,Otros familiares,1,Bajo,Secundaria,1,17.6,1,5.59,3.0,4,2,2,1,Regular,4.4,0,1,0
3970,Femenino,Ambos padres,0,Alto,Secundaria,0,,1,1.67,5.0,3,4,4,0,Buena,7.4,0,1,0
1297,Femenino,Ambos padres,2,,,0,,1,3.34,3.0,5,4,3,0,Conflictiva,5.9,0,1,0
2298,Masculino,Ambos padres,0,Medio,Primaria,0,,0,11.64,,2,4,5,0,Buena,7.9,0,0,0
2555,Femenino,Ambos padres,1,Medio,Primaria,0,,1,0.74,3.0,4,5,3,1,Buena,7.7,0,1,0
2324,Femenino,Un solo padre,2,Medio,Superior,0,,1,7.34,3.0,3,4,4,0,Buena,7.4,0,1,0
1374,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,1.57,4.0,2,4,5,0,Regular,7.0,0,1,0
1008,Masculino,Ambos padres,1,Bajo,Secundaria,0,,0,2.01,3.0,3,1,2,0,Conflictiva,6.3,0,0,1
1295,Femenino,Ambos padres,5,Medio-bajo,Secundaria,0,,0,0.61,3.0,3,3,4,1,Regular,6.4,0,0,0
1108,Masculino,Un solo padre,2,Medio,Secundaria,0,,1,0.77,5.0,2,2,3,0,Regular,6.6,0,1,0
3092,Masculino,Un solo padre,1,Bajo,Secundaria,0,,1,4.18,3.0,4,3,4,1,Regular,5.7,0,0,1
3630,Otro,Un solo padre,1,Medio,Secundaria,0,,1,2.39,3.0,3,4,3,0,Buena,8.7,0,1,0
1976,Masculino,Ambos padres,3,Medio,Secundaria,1,13.9,1,4.18,1.0,4,4,3,1,Buena,6.2,0,0,0
1847,Femenino,Otros familiares,0,Medio,Superior,0,,0,0.59,5.0,3,5,5,1,Regular,8.2,0,0,0
2580,Femenino,Ambos padres,0,Bajo,Superior,0,,0,1.69,2.0,4,3,1,0,Regular,6.2,0,0,0
3189,Otro,Otros familiares,0,Medio,Primaria,0,,1,1.81,3.0,3,3,5,0,Regular,7.1,0,1,0
3334,Femenino,Tutor,3,Medio,Secundaria,0,,0,0.62,5.0,1,4,5,1,Buena,7.5,0,0,0
2061,Femenino,Tutor,4,Medio-bajo,Superior,0,,1,2.83,1.0,4,4,1,1,Regular,4.2,0,0,0
2795,Femenino,Ambos padres,1,Bajo,,1,25.4,1,4.12,2.0,4,3,5,0,Conflictiva,6.5,0,0,1
2048,Femenino,Ambos padres,1,Medio-bajo,Superior,0,,0,2.16,3.0,5,1,3,1,Regular,7.0,0,0,0
2945,Otro,Ambos padres,1,Medio-bajo,Secundaria,0,,0,0.52,2.0,4,1,2,1,Regular,4.4,0,1,0
2253,Masculino,Otros familiares,2,Medio,Secundaria,0,,1,4.63,4.0,2,3,4,0,Buena,6.6,0,1,0
2735,Masculino,Ambos padres,2,Bajo,Primaria,0,,1,0.37,2.0,4,2,1,1,Regular,3.4,0,0,0
2018,Masculino,Un solo padre,1,Bajo,Superior,0,,1,7.88,4.0,4,2,1,1,Regular,6.9,0,0,0
2885,Femenino,Un solo padre,1,Medio,,0,,1,9.39,5.0,2,4,3,1,Buena,8.5,0,0,0
1490,Femenino,Ambos padres,1,Bajo,Sin estudios,1,23.6,1,8.44,1.0,3,2,4,1,Conflictiva,6.7,0,1,0
3310,Femenino,Ambos padres,0,Medio-bajo,Superior,0,,1,5.76,2.0,3,2,2,0,Regular,5.4,0,0,1
1556,Masculino,Ambos padres,0,Alto,Secundaria,0,,1,2.53,5.0,2,3,4,1,Regular,7.6,0,0,0
1354,Femenino,Un solo padre,1,Medio,Superior,0,,1,3.32,3.0,2,3,4,0,Conflictiva,4.5,0,1,0
3594,Femenino,Ambos padres,3,Medio,Sin estudios,0,,1,1.74,3.0,3,4,4,0,Buena,8.9,1,1,0
2929,Masculino,Ambos padres,3,Medio,Superior,1,17.7,0,6.43,3.0,2,5,4,0,Buena,6.0,0,1,0
1057,Masculino,Un solo padre,0,Bajo,Secundaria,0,,1,6.04,3.0,5,2,3,1,Conflictiva,6.4,0,0,0
2655,Masculino,Un solo padre,3,Bajo,,0,,1,3.34,3.0,4,2,3,0,Regular,5.5,0,0,1
3393,Masculino,Otros familiares,2,Medio-bajo,Secundaria,0,,1,2.13,3.0,3,2,4,0,,6.5,0,1,0
2241,Femenino,Ambos padres,2,Medio-bajo,Superior,0,,1,0.33,,4,2,4,0,Conflictiva,5.2,0,0,0
1998,Masculino,Ambos padres,3,Medio,Secundaria,1,19.0,1,4.79,3.0,3,4,4,1,Buena,8.7,0,1,1
2785,Masculino,Ambos padres,1,Medio,Primaria,0,,0,0.47,4.0,1,5,4,1,Buena,7.9,0,0,1
2350,Masculino,Ambos padres,0,Medio,Superior,0,,0,1.86,5.0,3,3,2,1,Buena,4.5,0,1,0
2132,Femenino,Ambos padres,1,Medio,Sin estudios,0,,0,1.57,4.0,4,5,3,0,Regular,6.3,0,1,0
3830,Masculino,Ambos padres,0,Medio-bajo,Secundaria,0,,0,2.51,3.0,3,2,4,0,Buena,7.5,0,0,1
3237,Otro,Tutor,1,Medio,Superior,0,,1,5.21,4.0,4,4,4,0,Buena,6.4,0,1,0
1793,Masculino,Un solo padre,4,Medio-bajo,,0,,0,6.94,4.0,2,4,5,1,Regular,6.9,0,0,0
2501,Masculino,Ambos padres,3,Medio-bajo,Superior,0,,1,0.62,3.0,4,2,3,1,Regular,5.8,0,1,0
2085,Masculino,Otros familiares,2,Medio-bajo,Primaria,0,,0,0.5,2.0,4,2,1,0,Conflictiva,6.3,0,0,0
3105,Masculino,Ambos padres,1,Medio,Superior,0,,1,7.87,3.0,3,2,4,1,Buena,7.7,0,0,1
2472,Femenino,Un solo padre,1,Alto,Secundaria,0,,0,1.38,3.0,1,5,3,0,Buena,5.8,0,1,0
1637,Masculino,Ambos padres,3,Medio-bajo,Primaria,0,,1,5.09,4.0,4,3,1,0,Regular,4.3,0,1,0
3666,Masculino,Ambos padres,2,Medio-bajo,Superior,1,24.1,1,2.37,3.0,3,3,3,0,Conflictiva,6.2,0,0,0
2557,Masculino,Ambos padres,3,Bajo,Superior,1,21.5,0,8.97,2.0,5,3,4,0,Regular,6.9,0,0,1
1259,Masculino,Un solo padre,0,Medio,Primaria,0,,1,0.1,4.0,2,4,4,0,Buena,5.8,0,0,0
3146,Femenino,Un solo padre,0,Bajo,Primaria,0,,1,8.62,3.0,5,2,2,1,Conflictiva,5.7,0,1,0
2380,Femenino,Un solo padre,2,Medio,Sin estudios,0,,1,1.93,2.0,3,3,3,0,Conflictiva,6.8,0,1,0
3150,Masculino,Un solo padre,2,Medio,Secundaria,1,12.3,0,0.45,5.0,1,4,2,0,Buena,5.8,0,1,0
1213,Femenino,Ambos padres,0,Medio,Primaria,0,,1,,4.0,2,4,5,0,Buena,8.7,0,0,0
3252,Masculino,Un solo padre,1,Medio,Primaria,0,,0,1.82,,4,3,2,0,Buena,7.3,1,1,0
3452,Masculino,Tutor,1,Medio-bajo,Secundaria,0,,1,0.86,3.0,5,3,4,0,,4.6,0,0,1
1733,Masculino,Ambos padres,2,Alto,Primaria,0,,1,1.36,3.0,2,4,3,0,Buena,7.3,0,1,0
3410,Masculino,Un solo padre,3,,Secundaria,0,,1,0.1,3.0,4,2,1,1,Regular,5.8,0,0,0
3808,Masculino,Un solo padre,0,Medio-bajo,Superior,0,,1,2.89,2.0,2,2,2,1,Regular,6.2,0,0,1
1936,Masculino,Ambos padres,2,Alto,Sin estudios,0,,1,1.79,3.0,4,4,2,0,Buena,7.9,0,0,1
1573,Masculino,Ambos padres,1,Bajo,Secundaria,1,25.5,1,2.46,3.0,2,3,3,0,Conflictiva,5.5,0,1,1
2794,Femenino,Ambos padres,3,Medio-bajo,Superior,0,,1,,5.0,4,1,3,1,Buena,7.0,0,0,0
2526,Masculino,Un solo padre,1,Medio,Sin estudios,0,,1,0.13,3.0,3,5,5,0,Buena,7.0,0,0,0
3021,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,1.64,3.0,3,4,4,1,Buena,5.6,0,1,1
2732,Masculino,Un solo padre,1,Medio,Secundaria,0,,1,7.43,3.0,4,1,2,0,Regular,6.1,0,0,0
3984,Femenino,Ambos padres,2,Medio,Superior,0,,1,0.53,3.0,2,3,3,0,Regular,5.9,0,0,1
2257,Masculino,Tutor,3,Bajo,Sin estudios,0,,1,0.56,3.0,3,2,3,1,Conflictiva,4.9,0,1,1
3290,Masculino,Un solo padre,1,,Superior,0,,0,4.03,2.0,4,4,4,0,Regular,6.3,0,0,0
1805,Masculino,Ambos padres,1,Medio,Sin estudios,1,21.8,1,2.15,2.0,3,2,4,1,Buena,7.7,0,1,0
2469,Masculino,Otros familiares,1,Medio,Superior,1,29.3,1,5.07,3.0,3,3,3,0,Buena,6.0,1,1,0
1835,Femenino,Ambos padres,0,Bajo,Superior,0,,1,2.76,3.0,4,2,1,1,Regular,6.2,0,0,1
2607,Femenino,Un solo padre,2,,Primaria,0,,0,4.63,1.0,5,1,1,0,Regular,6.7,0,1,0
1195,Otro,Ambos padres,0,Alto,Secundaria,0,,1,7.29,5.0,1,5,4,1,Buena,5.2,0,0,1
1937,Masculino,Ambos padres,4,Bajo,Superior,0,,0,0.21,2.0,5,1,4,1,Conflictiva,4.6,1,0,0
2764,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,1.78,2.0,4,3,3,1,Regular,7.2,0,0,0
2136,Femenino,Un solo padre,3,Medio,Superior,0,,1,0.1,4.0,4,4,4,0,Buena,5.4,0,0,1
2706,Masculino,Ambos padres,2,Bajo,Secundaria,0,,0,3.36,1.0,4,1,4,0,Regular,5.9,0,1,0
2239,Femenino,Otros familiares,1,Medio,Secundaria,0,,1,1.14,5.0,2,4,3,1,Buena,4.9,0,0,0
1543,Femenino,Un solo padre,3,Bajo,Secundaria,1,28.9,0,2.24,3.0,4,2,1,1,Regular,5.1,1,0,0
1514,Masculino,Ambos padres,2,Medio,,0,,1,1.47,,4,3,4,0,Buena,7.5,0,1,0
3415,Femenino,Ambos padres,1,Bajo,Secundaria,0,,0,2.63,2.0,2,2,3,0,Conflictiva,6.0,0,0,1
1939,Masculino,Ambos padres,3,Medio-bajo,Superior,0,,1,0.99,2.0,4,4,4,0,Regular,5.7,0,1,0
3218,Femenino,Otros familiares,1,,Secundaria,1,31.5,1,0.52,3.0,5,1,2,0,Regular,6.9,0,0,0
2527,Masculino,Ambos padres,1,Medio,Sin estudios,0,,1,2.7,1.0,2,3,4,1,Buena,7.3,0,1,0
1412,Femenino,Un solo padre,1,Medio-bajo,Superior,0,,1,1.86,4.0,3,2,3,1,Buena,7.3,0,0,1
2825,Masculino,Ambos padres,1,Medio-bajo,Superior,0,,0,0.23,3.0,2,1,3,0,Regular,6.5,0,1,1
2100,Masculino,Ambos padres,1,Alto,Primaria,0,,1,3.89,2.0,3,4,3,0,Buena,6.1,0,1,0
3676,Otro,Un solo padre,2,Medio,Primaria,0,,1,2.54,2.0,3,4,1,0,Regular,6.3,0,0,0
1457,Femenino,Un solo padre,3,Bajo,Secundaria,0,,0,0.55,4.0,1,3,4,1,Regular,7.4,0,1,1
3207,Masculino,Tutor,2,Medio-bajo,Primaria,0,,0,5.74,4.0,3,3,3,0,Conflictiva,7.5,0,0,0
1857,Femenino,Un solo padre,3,Medio,Superior,0,,1,0.3,3.0,2,2,5,1,Regular,6.9,0,0,0
3026,Femenino,Un solo padre,0,Alto,Secundaria,0,,1,5.45,3.0,2,4,3,1,Regular,6.3,0,0,0
3047,Femenino,Ambos padres,3,Medio,Secundaria,1,19.5,1,,2.0,1,3,2,0,Buena,5.9,0,1,0
2227,Masculino,Ambos padres,3,Medio-bajo,Secundaria,0,,0,6.06,4.0,3,1,2,1,Regular,4.5,0,0,0
1690,Femenino,Un solo padre,3,Medio,Secundaria,0,,0,2.97,3.0,2,2,4,0,Regular,6.2,0,1,0
2746,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,0.14,3.0,3,3,5,0,Buena,8.8,0,1,0
2988,Masculino,Ambos padres,1,Medio-bajo,Secundaria,0,,1,0.63,3.0,3,3,3,0,Regular,7.1,0,0,0
3038,Femenino,Otros familiares,2,Alto,Superior,0,,1,1.13,4.0,2,4,4,0,Regular,7.1,0,1,0
3088,Masculino,Ambos padres,2,Medio,Superior,1,20.7,1,2.51,2.0,2,5,5,0,Buena,7.8,0,0,0
1236,Femenino,Ambos padres,3,Bajo,Secundaria,0,,1,0.72,,4,3,4,1,Conflictiva,6.3,0,0,1
3865,Masculino,Ambos padres,2,Medio-bajo,Secundaria,1,16.8,1,0.45,3.0,3,2,4,1,Buena,6.6,0,0,0
1744,Masculino,Ambos padres,1,Medio,Superior,0,,0,0.46,4.0,1,5,4,1,Buena,6.3,0,0,0
1848,Masculino,Un solo padre,2,,Superior,1,25.3,0,6.96,4.0,5,2,2,0,Regular,8.3,0,1,0
1227,Femenino,Ambos padres,2,Medio,Sin estudios,0,,1,10.24,3.0,4,4,4,0,Buena,6.0,0,1,0
1820,Masculino,Un solo padre,0,,,0,,1,0.63,4.0,2,2,5,1,Regular,7.0,0,1,0
1093,Masculino,Ambos padres,0,Medio-bajo,Superior,0,,1,4.58,3.0,4,5,2,1,Buena,8.2,0,0,0
3483,Masculino,Otros familiares,2,Alto,Superior,0,,0,0.51,3.0,1,5,4,0,Buena,6.2,0,0,0
1513,Masculino,Un solo padre,2,Medio,Secundaria,0,,1,0.85,5.0,4,2,4,0,Buena,6.3,0,1,0
1278,Masculino,Ambos padres,3,Medio,Superior,0,,1,5.38,3.0,4,2,3,0,Regular,6.4,0,0,0
3048,Masculino,Otros familiares,2,Medio-bajo,Secundaria,0,,0,9.42,5.0,3,3,5,0,Conflictiva,5.6,0,0,0
2805,Femenino,Ambos padres,1,,Secundaria,0,,1,2.87,4.0,3,3,2,0,Conflictiva,7.8,0,0,1
1584,Masculino,Ambos padres,2,Alto,Superior,0,,1,0.69,2.0,3,4,3,0,Regular,7.3,0,0,0
3767,Masculino,Ambos padres,0,Alto,Superior,0,,1,3.78,4.0,3,2,3,0,Buena,8.7,0,0,0
3004,Masculino,Ambos padres,3,Medio,Primaria,0,,1,3.25,4.0,3,3,3,1,Regular,7.1,0,1,0
2967,Masculino,Un solo padre,3,Medio-bajo,,0,,1,0.63,4.0,1,4,3,0,Buena,8.3,1,0,0
3408,Femenino,Un solo padre,4,Alto,Secundaria,0,,1,0.98,3.0,2,3,2,0,Regular,5.9,0,0,0
2635,Masculino,Ambos padres,1,Bajo,Superior,0,,0,3.65,2.0,4,1,3,0,Regular,7.0,0,0,0
2690,Femenino,Un solo padre,0,Alto,Secundaria,0,,1,0.22,5.0,3,2,2,0,Buena,8.7,0,0,0
1468,Femenino,Ambos padres,0,Medio-bajo,Superior,0,,1,4.28,3.0,4,2,2,0,Conflictiva,4.6,1,0,1
2793,Femenino,Ambos padres,1,Medio,Secundaria,0,,1,0.12,5.0,3,2,3,0,Buena,5.8,1,0,0
3945,Masculino,Un solo padre,1,Medio,Secundaria,0,,1,4.7,3.0,3,4,3,0,Buena,7.0,0,1,0
2997,Masculino,Ambos padres,0,Medio-bajo,Superior,0,,1,0.1,2.0,2,5,3,0,Buena,7.4,0,1,0
1336,Femenino,Ambos padres,1,Medio,Superior,0,,1,59.19,5.0,5,2,2,0,Regular,5.9,0,1,1
1379,Masculino,Ambos padres,1,Medio,Primaria,0,,1,1.11,3.0,3,3,4,1,Buena,8.0,0,0,0
1415,Femenino,Un solo padre,1,Alto,Superior,1,16.1,1,1.94,5.0,4,4,3,1,Buena,6.1,0,0,0
1419,Otro,Un solo padre,0,Alto,Superior,0,,0,1.32,5.0,3,3,2,0,Buena,7.2,0,0,0
2901,Masculino,Otros familiares,1,Medio,Secundaria,1,27.5,1,,4.0,3,2,4,1,Conflictiva,6.7,0,0,0
2184,Femenino,Ambos padres,2,Medio-bajo,Primaria,0,,1,2.88,3.0,2,3,3,0,Regular,8.9,0,0,0
1147,Otro,Ambos padres,1,Medio-bajo,Secundaria,0,,1,4.4,3.0,4,3,3,0,Buena,6.3,0,0,0
3472,Femenino,Otros familiares,0,,Superior,0,,0,7.39,1.0,5,1,3,0,Regular,5.4,0,0,0
3558,Masculino,Ambos padres,4,Alto,Primaria,0,,1,4.12,5.0,2,3,5,0,Buena,7.6,0,0,0
3934,Masculino,Un solo padre,2,Medio-bajo,,0,,1,1.47,,5,3,2,0,Conflictiva,4.1,0,0,0
2246,Masculino,Ambos padres,1,Medio,Superior,0,,1,2.73,4.0,2,4,4,0,Buena,7.7,0,1,0
2987,Masculino,Ambos padres,2,Medio,Superior,1,18.3,1,3.21,3.0,3,5,3,0,Regular,6.1,0,0,0
2638,Masculino,Un solo padre,1,Bajo,Secundaria,0,,0,2.84,4.0,4,1,2,0,Regular,4.1,0,0,0
1321,Femenino,Ambos padres,1,Bajo,,0,,1,8.92,3.0,5,3,3,1,Conflictiva,6.2,0,0,0
2912,Masculino,Ambos padres,3,Medio,Superior,1,22.3,1,0.32,2.0,2,3,3,0,Buena,8.5,0,0,0
1357,Masculino,Ambos padres,3,Medio-bajo,Superior,1,20.7,1,1.52,2.0,3,2,3,0,Conflictiva,6.5,0,0,0
1695,Femenino,Ambos padres,1,,Primaria,0,,0,6.5,4.0,5,1,2,0,Regular,6.6,0,0,1
2250,Masculino,Un solo padre,2,Medio-bajo,Primaria,1,20.2,1,5.58,3.0,4,3,4,1,Conflictiva,4.3,0,1,1
3890,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,0.3,4.0,3,3,5,0,Buena,6.4,0,0,0
2782,Masculino,Tutor,1,Medio-bajo,Secundaria,0,,0,3.85,2.0,3,1,5,1,Regular,6.4,0,0,0
1851,Femenino,Ambos padres,1,Medio-bajo,Secundaria,1,18.3,1,0.1,1.0,4,3,4,0,Regular,8.0,0,0,0
3781,Femenino,Un solo padre,1,Medio,Secundaria,1,26.5,1,2.75,3.0,3,4,3,0,Conflictiva,6.3,0,1,1
1887,Masculino,Ambos padres,0,Medio,Primaria,0,,1,0.8,2.0,2,3,3,1,Buena,8.8,0,1,1
2078,Femenino,Ambos padres,0,Bajo,Superior,0,,1,4.75,1.0,3,1,3,0,Conflictiva,5.8,0,0,0
3480,Masculino,Ambos padres,0,Bajo,Secundaria,0,,1,0.42,2.0,4,3,4,1,Conflictiva,8.2,0,0,0
3420,Masculino,Ambos padres,0,Medio-bajo,Secundaria,1,21.1,0,2.66,2.0,4,4,4,0,Regular,5.0,0,1,1
2661,Masculino,Otros familiares,2,Alto,Secundaria,0,,1,1.57,4.0,2,5,4,0,Regular,7.5,0,1,0
1128,Masculino,Ambos padres,0,Medio,Secundaria,0,,1,1.57,4.0,2,3,5,0,Buena,7.8,1,0,0
3120,Masculino,Otros familiares,2,Medio,Secundaria,0,,0,2.65,3.0,4,2,2,0,Buena,8.7,0,0,0
1864,Femenino,Otros familiares,1,Medio-bajo,Primaria,0,,0,1.56,5.0,2,5,3,0,Buena,9.6,0,0,1
3089,Femenino,Un solo padre,2,Medio-bajo,Secundaria,0,,0,1.6,3.0,5,5,3,1,Regular,9.5,0,1,0
3967,Masculino,Un solo padre,0,Medio,Superior,0,,0,1.75,3.0,1,3,4,0,Buena,7.9,0,1,0
2673,Masculino,Ambos padres,2,Medio-bajo,Secundaria,0,,0,1.63,4.0,5,4,4,0,Regular,6.2,0,1,0
3585,Masculino,Ambos padres,1,Medio-bajo,Primaria,0,,0,0.97,4.0,2,3,3,1,Regular,7.3,0,1,1
1972,Femenino,Ambos padres,5,Medio,Secundaria,0,,1,1.0,3.0,3,4,5,0,Buena,7.2,0,1,0
3482,Masculino,Ambos padres,0,Medio,Secundaria,0,,1,1.83,3.0,4,3,1,0,Conflictiva,7.2,0,1,0
1850,Femenino,Un solo padre,1,Bajo,Superior,0,,0,1.11,2.0,2,2,2,0,Conflictiva,6.4,0,1,1
3197,Masculino,Un solo padre,2,Medio,Secundaria,1,15.8,1,,3.0,3,4,2,0,Buena,7.2,0,0,0
1789,Masculino,Un solo padre,3,Bajo,Primaria,1,15.7,0,0.49,2.0,3,3,2,0,Conflictiva,7.2,0,0,0
1950,Masculino,Un solo padre,0,Medio,Primaria,1,19.6,1,1.93,4.0,3,3,1,1,Buena,6.2,0,0,0
3340,Femenino,Un solo padre,0,,Primaria,0,,1,1.24,3.0,2,3,4,0,Buena,7.3,0,0,0
3716,Femenino,Ambos padres,3,Medio,Superior,1,14.5,0,2.46,5.0,2,5,5,0,Buena,8.7,0,1,0
1961,Masculino,Ambos padres,2,Medio,Secundaria,0,,1,1.09,4.0,3,2,4,0,Regular,7.4,0,0,0
3691,Femenino,Un solo padre,1,Medio,Superior,0,,0,0.57,5.0,3,5,4,0,Regular,7.7,0,0,0
3807,Femenino,Un solo padre,2,Medio-bajo,Secundaria,0,,0,0.54,4.0,3,3,2,0,Conflictiva,6.2,0,0,0
1255,Masculino,Un solo padre,2,Medio,Superior,0,,1,1.62,5.0,2,3,5,0,Buena,8.2,0,1,1
3234,Femenino,Un solo padre,1,,Superior,0,,1,2.83,4.0,3,3,2,1,Buena,6.7,0,0,0
3516,Masculino,Ambos padres,1,Bajo,Secundaria,1,23.4,1,2.68,2.0,3,4,2,0,Regular,5.8,1,0,1
2015,Masculino,Ambos padres,2,Medio,,1,11.3,0,0.66,3.0,2,2,4,0,Buena,7.7,0,1,0
2138,Femenino,Un solo padre,2,Medio,Superior,0,,1,6.95,3.0,3,2,3,0,Buena,7.2,0,1,1
3680,Femenino,Un solo padre,1,Alto,Primaria,0,,1,2.4,4.0,3,3,3,0,Buena,5.1,0,1,0
1024,Masculino,Otros familiares,2,Bajo,Primaria,0,,0,2.17,4.0,4,2,2,1,Conflictiva,5.5,0,0,0
3171,Masculino,Ambos padres,1,Medio-bajo,Superior,0,,0,9.57,4.0,4,2,5,1,Buena,6.8,0,0,0
1019,Masculino,Ambos padres,2,Medio-bajo,Primaria,0,,0,10.44,1.0,3,1,1,0,Conflictiva,7.0,0,1,1
1268,Masculino,Ambos padres,1,Alto,Superior,0,,1,1.2,4.0,3,3,3,0,Buena,6.5,0,1,0
1723,Masculino,Ambos padres,3,,Secundaria,0,,1,1.0,4.0,2,4,2,1,Buena,6.5,1,1,0
2311,Otro,Ambos padres,3,Medio,Secundaria,0,,1,,4.0,1,3,4,0,Buena,6.5,0,1,0
1672,Masculino,Tutor,2,Medio,Primaria,0,,0,0.9,4.0,2,3,2,0,Conflictiva,8.1,0,1,1
3313,Masculino,Un solo padre,0,Alto,Primaria,0,,1,0.11,4.0,2,4,2,0,Buena,8.1,0,1,0
3300,Masculino,Un solo padre,0,Medio,Secundaria,0,,1,,3.0,4,3,3,0,Regular,5.6,0,1,1
2437,Femenino,Ambos padres,1,Medio,,0,,1,7.21,2.0,3,5,3,1,Buena,6.0,0,1,0
3159,Femenino,Ambos padres,0,Bajo,Primaria,0,,0,3.07,3.0,3,4,2,0,Conflictiva,6.1,0,0,1
1280,Masculino,Un solo padre,1,Bajo,Secundaria,0,,0,3.84,2.0,4,2,1,0,Conflictiva,6.8,1,0,0
3734,Masculino,Un solo padre,3,Alto,Secundaria,0,,1,3.04,4.0,2,3,4,0,Buena,6.8,0,0,0
